('aKila', 'a)niKila', 'b)yamaH', 'c)indrajAlam', 'd)karkawaSfNgI')
('naBacara', 'a)naBagAmin', 'b)kzaRarAmI', 'c)karaH', 'd)yugmam')
('sampUrRa', 'a)aKaRqa', 'b)vAraRavuzA', 'c)yudDaDvajaH', 'd)BinnarUpin')
('prArUpam', 'a)vikarzaH', 'b)svan', 'c)apraSaMsanIya', 'd)caraRodakam')
('aDikam', 'a)aDikataram', 'b)toyam', 'c)nilI', 'd)SyenaH')
('vilAyita', 'a)vilIna', 'b)Bidurama', 'c)EtareyaH', 'd)tIkzRapuzpA')
('vilIna', 'a)antarita', 'b)ekapAt', 'c)ucCanna', 'd)vEklavyam')
('nyAsaH', 'a)upaniDiH', 'b)samboDaH', 'c)aS', 'd)upanizad')
('krUratA', 'a)akaruRatvam', 'b)SabdahIna', 'c)vARaH', 'd)sOdAminI')
('dfQa', 'a)rUkza', 'b)kuSapuzpam', 'c)bAlaH', 'd)ayogya')
('arkapriyA', 'a)arkavallaBA', 'b)samAgacC', 'c)nirdaqa', 'd)SabdaSAsanam')
('jIvikopArjanam', 'a)jIvanopArjanam', 'b)vijYAnam', 'c)niScayaH', 'd)aRqaja')
('nirdoza', 'a)dozahIna', 'b)savAdaH', 'c)mlAnatejas', 'd)kf')
('prayogaH', 'a)parIkzA', 'b)rasaH', 'c)tizyaH', 'd)dvijAtiH')
('sevA', 'a)dAsyam', 'b)saMyukta', 'c)varaRaH', 'd)meGAkAlaH')
('prAKaryam', 'a)praKaratvam', 'b)vinikft', 'c)viSvavidyAlayaH', 'd)utsAhajanaka')
('goDUma', 'a)bahudugDaH', 'b)AleKanI', 'c)Amram', 'd)cEtrikaH')
('sevakaH', 'a)sevI', 'b)pradakziRaH', 'c)dantavastram', 'd)ASaNkA')
('AkarikaH', 'a)AKanikaH', 'b)samBaYj', 'c)nyUnakAnti', 'd)AtmIya')
('upakArakatA', 'a)upayogaH', 'b)aDikaraRyam', 'c)avasic', 'd)nideSikA')
('luRWanam', 'a)nirluRWanam', 'b)nipizwa', 'c)rasAlamUlam', 'd)umA')
('luRW', 'a)apahf', 'b)sAma', 'c)piRqaja', 'd)CadmAsyam')
('apahf', 'a)hf', 'b)janakalyARam', 'c)gaBastiH', 'd)rahasyAtmaka')
('viluRw', 'a)luRw', 'b)prakAraH', 'c)vidf', 'd)pawumati')
('nistAramUlyam', 'a)nizkfti', 'b)tUlapicuH', 'c)dEvADIna', 'd)durbalANga')
('vyaD', 'a)Cid', 'b)kAYcI', 'c)vasA', 'd)vyaTA')
('kawutvam', 'a)kawutA', 'b)grAmIRaH', 'c)muKanirIkzakaH', 'd)SayanaboDinI')
('praBAvaka', 'a)praBAvaSIla', 'b)karkaH', 'c)udDAni', 'd)hiNguniryAsaH')
('aSizwatA', 'a)avinayaH', 'b)aSvalalitaH', 'c)alaNGanIyatvam', 'd)viGnaH')
('avyavasTA', 'a)kuprabanDaH', 'b)svIkf', 'c)anicCayA', 'd)prakawita')
('pozaka', 'a)tattvam', 'b)nirDArita', 'c)jYAnAtmaka', 'd)paR')
('pozaRam', 'a)puzwiH', 'b)pIWikA', 'c)vAraRaH', 'd)lajjaya')
('maRiH', 'a)liNgAgram', 'b)kAntAramUlam', 'c)aBipragAhaya', 'd)senADikArI')
('UrDvakaH', 'a)murajaH', 'b)romanagaram', 'c)kAryahIna', 'd)samIh')
('smaraRaSaktiH', 'a)smftiH', 'b)raNgamAtA', 'c)vAjI', 'd)dfQadaSakaH')
('dakziRa', 'a)vAmetara', 'b)Ikzita', 'c)atikrAmaka', 'd)saMskf')
('paRyam', 'a)paRasaH', 'b)iRqiyA', 'c)sahasA', 'd)anftavAdI')
('Astika', 'a)ISvaravAdI', 'b)DI', 'c)tApI', 'd)labDavidya')
('ISvaravAdaH', 'a)AstikyavAdaH', 'b)aDikAMSa', 'c)kuWAraH', 'd)vikoSa')
('nAstikaH', 'a)anISvaravAdI', 'b)lokayAnam', 'c)vAtyA', 'd)atikaTa')
('nAstika', 'a)anISvaravAdI', 'b)nirmohin', 'c)bIjapUrRaH', 'd)vadanAsavaH')
('Astika', 'a)ISvaravAdI', 'b)devavARI', 'c)vilap', 'd)saMvedItantram')
('satkftiH', 'a)SIlam', 'b)uzita', 'c)vihas', 'd)pA')
('pariBrazwa', 'a)kzayita', 'b)mahat', 'c)svApaya', 'd)aSizwaH')
('saBA', 'a)parizat', 'b)sAraTiH', 'c)tfp', 'd)rimedaH')
('balyam', 'a)rucakam', 'b)krozwrI', 'c)Ih', 'd)vyavavlI')
('balavarDaka', 'a)SaktivarDaka', 'b)sAraNgI', 'c)valayam', 'd)maladUzita')
('racanA', 'a)kftiH', 'b)Anandita', 'c)anuvihan', 'd)kusumam')
('gaRanam', 'a)vigaRanam', 'b)spfS', 'c)satyatA', 'd)hiNguniryAsabIjam')
('Cappaya', 'a)CandaH', 'b)sidDIH', 'c)mandaH', 'd)aBivartin')
('piSunatA', 'a)piSunatvam', 'b)bEMka', 'c)antesat', 'd)ujjvalatA')
('muc', 'a)pratimuc', 'b)anuvAda', 'c)sadaH', 'd)asTisAraH')
('atI', 'a)apAs', 'b)pAma', 'c)mUrDABiziktaH', 'd)antakaH')
('apagam', 'a)apayA', 'b)suganDita', 'c)vIravetasaH', 'd)nideSikA')
('DvaniH', 'a)ravaH', 'b)katArIyaH', 'c)DanvantariH', 'd)nirbrU')
('sTA', 'a)avasTA', 'b)avakratA', 'c)apravIRa', 'd)saMvaraRam')
('pravft', 'a)pracal', 'b)pawaham', 'c)pracCedaH', 'd)tajikistAnadeSaH')
('pracar', 'a)cezw', 'b)pramuc', 'c)visUcikA', 'd)gavAkzaH')
('karzaRam', 'a)AkarzaRam', 'b)PrAnsaH', 'c)hapiH', 'd)navyatA')
('AraB', 'a)sTApaya', 'b)ulleKaH', 'c)AtAyI', 'd)badarInATakzetram')
('mocaya', 'a)vimocaya', 'b)KiKiH', 'c)PAlaH', 'd)hitakAraka')
('liK', 'a)AliK', 'b)pakzaH', 'c)Buj', 'd)prakzar')
('varRaya', 'a)upavarRaya', 'b)maNgalyam', 'c)caritram', 'd)bahUmUlya')
('sahasA', 'a)Akfz', 'b)visfp', 'c)latArkaH', 'd)dah')
('AcAryaH', 'a)AryaH', 'b)matimanda', 'c)mudrikA', 'd)karma')
('prAp', 'a)Ap', 'b)mahizI', 'c)parinirRij', 'd)vizajuzwaH')
('Apad', 'a)prapad', 'b)aDvadarSanam', 'c)sajIvaH', 'd)vAsAgAram')
('avagam', 'a)aDigam', 'b)nIlama', 'c)vas', 'd)kErAtam')
('prAp', 'a)saMprAp', 'b)utkroSaH', 'c)as', 'd)avAcya')
('AraB', 'a)prAraB', 'b)nirhrAsaH', 'c)vikAsa', 'd)saMsekaH')
('pratisamADA', 'a)vyAvft', 'b)gfhapatiH', 'c)duHKapUrRatA', 'd)arizwaH')
('udvij', 'a)upahas', 'b)sarvakAraH', 'c)acintanIya', 'd)ArdraBUmiH')
('pariRamanam', 'a)pariRatiH', 'b)anuraYjanam', 'c)asTiBaYjaka', 'd)rusa')
('pArTiva', 'a)Avaneya', 'b)IzIkA', 'c)kAkAtuA', 'd)vyatizaYj')
('aDikAraH', 'a)aDikAritA', 'b)saMgfhIta', 'c)hastI', 'd)vAnaraH')
('mAraka', 'a)avaGAtin', 'b)pE', 'c)avaSyAyaH', 'd)nirhf')
('kzudrAmalakaH', 'a)karkaH', 'b)aBirucimat', 'c)kapawatA', 'd)mezarASiH')
('aNkaH', 'a)prAptANkaH', 'b)samuccar', 'c)dohadavatI', 'd)kzurakam')
('vfD', 'a)saMvfD', 'b)AyAtakaH', 'c)saMkxp', 'd)aSri')
('tan', 'a)vitan', 'b)geyatA', 'c)sumanAH', 'd)param')
('pravarDaya', 'a)prabalaya', 'b)vizaRRa', 'c)akAraRa', 'd)niryez')
('viSoDaya', 'a)SoDaya', 'b)kaNkAlaH', 'c)daSA', 'd)anApluta')
('viparyas', 'a)vyatyas', 'b)guRyANkaH', 'c)kEvartakaH', 'd)nirdoza')
('hastena', 'a)spfS', 'b)indriyAtIta', 'c)paRAyA', 'd)saNgozWI')
('kleSaya', 'a)tApaya', 'b)janasevA', 'c)dviBAziRI', 'd)rakzRam')
('vivf', 'a)prakASaya', 'b)jaradAlU', 'c)vaYcaTA', 'd)Scyut')
('kzepaya', 'a)prakzepaya', 'b)parivarjaya', 'c)mApana', 'd)josePaswelinamahodayaH')
('qAyaya', 'a)uqqAyaya', 'b)samasTalI', 'c)aNgIkftiH', 'd)apAYc')
('dIpezikA', 'a)pewIkA', 'b)vajrakaRwakaH', 'c)vimarSarUpa', 'd)tindubilvasya')
('uttAraya', 'a)tAraya', 'b)parimuz', 'c)nAgadantakaH', 'd)nirupadrava')
('vell', 'a)plu', 'b)virudDavacanam', 'c)cibiH', 'd)samASri')
('kfz', 'a)prakfz', 'b)vismi', 'c)ciram', 'd)nfpAtmajA')
('pratisAraya', 'a)apasAraya', 'b)uqUpaH', 'c)jananANgam', 'd)caran')
('vakratA', 'a)vakrIBAvaH', 'b)jantara', 'c)bIjAkftam', 'd)vyatikrAnta')
('niBfte', 'a)sTAnam', 'b)Alambanam', 'c)viyuj', 'd)rAjakulam')
('nartaya', 'a)Anartaya', 'b)vaRikaH', 'c)kAruRikatA', 'd)parjanyakAlaH')
('sandarBaH', 'a)prasaNgaH', 'b)tap', 'c)sinDuH', 'd)SUnyavAdaH')
('svakIyaH', 'a)svakIyA', 'b)samudraH', 'c)avakF', 'd)ramya')
('mAtrA', 'a)mAnakaH', 'b)i', 'c)jYeya', 'd)udBrama')
('kart', 'a)viSas', 'b)aBimardanam', 'c)AplAvaH', 'd)ujJ')
('alaNkaraRam', 'a)BUzaRam', 'b)mfgajalam', 'c)saMkalana', 'd)hfdaya')
('viyogaH', 'a)virahaH', 'b)Sram', 'c)lOhaH', 'd)gfha')
('tatpara', 'a)utsuka', 'b)kAlAntaram', 'c)ASAvAsas', 'd)as')
('vivaraRapatram', 'a)Avedanapatram', 'b)ayaSaskaraRam', 'c)CowI', 'd)avArC')
('arTatattvam', 'a)vastuvfttam', 'b)rucya', 'c)samantakaH', 'd)anAhAra')
('suBAzitaH', 'a)suvicAraH', 'b)vipad', 'c)SArIrikadravyam', 'd)rugRAlayam')
('svIkf', 'a)aMgIkf', 'b)nOkAvasanam', 'c)uzAkAlaH', 'd)pawalam')
('tApamApinI', 'a)tApamApakaH', 'b)viSAKaH', 'c)agraprezita', 'd)anavaDAnatA')
('vaktrapawwaH', 'a)bokkARaH', 'b)vaDakaH', 'c)aMhata', 'd)prekzakaH')
('GAGaH', 'a)GAGakaviH', 'b)vidyutpAtaH', 'c)pAwaliputram', 'd)boDagamya')
('sammardaH', 'a)saMramBaH', 'b)vanyA', 'c)citrareKA', 'd)kAkzaH')
('melA', 'a)melakaH', 'b)apASraya', 'c)kembukapuzpaH', 'd)sAraNgarAgaH')
('klid', 'a)praklid', 'b)pratAraya', 'c)mAndyam', 'd)niranukroSaH')
('tElacitra', 'a)tElaraNga', 'b)gopanIya', 'c)jalanirgama', 'd)ulleKaH')
('damanakaH', 'a)damanaH', 'b)uzA', 'c)gfhakacCapaH', 'd)dantaPenaH')
('dolAyamAnaH', 'a)dolAyamAnA', 'b)cOtAlaH', 'c)devadAruH', 'd)aPagARavAsI')
('vici', 'a)avaci', 'b)kAntaH', 'c)anavaratam', 'd)lupta')
('vf', 'a)udvf', 'b)atikram', 'c)pariSrAnta', 'd)akapawaH')
('vf', 'a)varaya', 'b)durganDa', 'c)IrzyA', 'd)manuzyaH')
('cURaH', 'a)puwaH', 'b)anavAptiH', 'c)candrakiraRaH', 'd)rajaH')
('svABAvikakriyA', 'a)svABAvikA', 'b)caYcuH', 'c)pAkaSAsaniH', 'd)mahAyAvanAlaH')
('mUtrapiRqaH', 'a)vfkkaH', 'b)niraBra', 'c)avaleKanI', 'd)paratra')
('dIkzA', 'a)gurUmantraH', 'b)aparIkzaviSvAsin', 'c)aSeza', 'd)asAMSayika')
('gatihIna', 'a)sTira', 'b)prasUtigfham', 'c)paripuz', 'd)durvacam')
('yAvanAlaH', 'a)SiKarI', 'b)dvAparaM', 'c)parAsta', 'd)ruRw')
('durbalaya', 'a)kzayaya', 'b)AhvA', 'c)jalottolanI', 'd)somagrahaH')
('aBinirdiS', 'a)pradiS', 'b)saNagaraH', 'c)sUryakamalam', 'd)puzkalakaH')
('manda', 'a)SiTila', 'b)aBiyogaH', 'c)SARqilyam', 'd)kaTAnakam')
('akzatA', 'a)aspfzwamETunA', 'b)BUdevaH', 'c)carcA', 'd)aprAsANgika')
('kfzRajIraH', 'a)kuYcikA', 'b)vEgaInadI', 'c)kusumavAna', 'd)aKaRqa')
('adarSanam', 'a)adfSyatA', 'b)divyatejAH', 'c)AkAraya', 'd)vftrAsuraH')
('ASvAsanam', 'a)pratyASvAsanam', 'b)mallakozwakaH', 'c)upapAyanam', 'd)Sasyalavanam')
('ASvAsanIyaH', 'a)ASvAsanIyA', 'b)samABAz', 'c)antaryAmin', 'd)samucCri')
('aSvameDaH', 'a)aSvameDayajYaH', 'b)urasijaH', 'c)kuSalatA', 'd)maNgalakAraka')
('mETunam', 'a)ratam', 'b)sajalaBUmiH', 'c)upasTaH', 'd)pativratam')
('DUmaH', 'a)DUmikA', 'b)tfptatA', 'c)uparitana', 'd)devAvAsa')
('kzaraRam', 'a)prakzaraRam', 'b)sAiprasIyapAuRqam', 'c)saMSravaRam', 'd)SalyaH')
('BUkzaraRam', 'a)mftkzaraRam', 'b)SAliyajYaH', 'c)dvijaliNgI', 'd)vyaYjaya')
('sKalanam', 'a)patanam', 'b)sudarSanacakram', 'c)a', 'd)bIjagaRitam')
('valkalI', 'a)valkalasaMvItaH', 'b)mfgadaSakaH', 'c)nIradin', 'd)kopay')
('Oraga', 'a)nAga', 'b)BUmikuzmARqaH', 'c)vam', 'd)lajjAvattvam')
('sarpAkAra', 'a)sarpAkfti', 'b)iNga', 'c)mApikA', 'd)saMrudDa')
('aqIyamAna', 'a)anuqqIyamAna', 'b)upanirdeSakaH', 'c)avaSyam', 'd)praRASaH')
('tIrTasTalam', 'a)sTAnam', 'b)hlAduka', 'c)anaGa', 'd)sahAyaH')
('avaguRWanam', 'a)avaguRWikA', 'b)navatriMSa', 'c)nipat', 'd)svecCAcAraH')
('sopAnamArgaH', 'a)sopAnapaNktiH', 'b)garBARuH', 'c)klIbatA', 'd)anizidDa')
('sUryakamalam', 'a)BrAmakaH', 'b)BfNgarAjaH', 'c)rOkzyam', 'd)majjA')
('sUryAstaH', 'a)dinAntaH', 'b)SarIrI', 'c)somayajYaH', 'd)parivAsaH')
('satyam', 'a)satyA', 'b)pramAdin', 'c)parIkzakaH', 'd)nUtanIkaraRIya')
('SvetAmbaraH', 'a)SvetAmbaro', 'b)vikalANga', 'c)gfhagoDA', 'd)SiKarI')
('patrasvIkartA', 'a)patraprApakaH', 'b)tavas', 'c)mattatA', 'd)vyaYjaya')
('pakzaH', 'a)pattram', 'b)pItaH', 'c)AjYAnugAmin', 'd)raTI')
('saMyata', 'a)nigrahI', 'b)BOtikam', 'c)cumbakaH', 'd)vA')
('harita', 'a)pItanIla', 'b)udyoga', 'c)aBisaMsTA', 'd)sattA')
('parpawI', 'a)raYjanI', 'b)BizwakaH', 'c)AvfttiH', 'd)niyantrita')
('vfjanam', 'a)nirAkaraRam', 'b)tilvaH', 'c)uparitana', 'd)kf')
('vyUhaH', 'a)balavinyAsaH', 'b)KaRq', 'c)parihAsaH', 'd)hAwakam')
('mahimAvAn', 'a)mahimAvatI', 'b)nirudDa', 'c)tantuvAdyam', 'd)uzwrikA')
('rItiH', 'a)padDatiH', 'b)manovegaH', 'c)hu', 'd)Urmimat')
('punarvAsaH', 'a)punarvAsanam', 'b)suBAzaRam', 'c)saNgrah', 'd)vilas')
('pfzWaBUmiH', 'a)sandarBaH', 'b)sarzapaH', 'c)varDita', 'd)uzmaH')
('cakrAwanam', 'a)vfTAwanam', 'b)KaRqaH', 'c)vfkzAdanaH', 'd)lohitatvam')
('smaraRam', 'a)saMsmaraRam', 'b)leninamahodayaH', 'c)matam', 'd)utsAhin')
('durgayAnam', 'a)jIpayAnam', 'b)amanojYa', 'c)unmATaH', 'd)cetanatA')
('paYjikA', 'a)paYjI', 'b)virAvaH', 'c)prAptayOvanaH', 'd)tanukUpaH')
('kzIbatA', 'a)aNgajaH', 'b)kiriH', 'c)lakzyAnugAmin', 'd)pratilipiM')
('viDA', 'a)kf', 'b)nArakaH', 'c)upahf', 'd)BedaH')
('cint', 'a)vicint', 'b)ketuvasanaH', 'c)lalajivhaH', 'd)pinAkaH')
('avasad', 'a)avaso', 'b)arcita', 'c)UQa', 'd)nirUp')
('saMpad', 'a)sampad', 'b)svarveSyAH', 'c)gulI', 'd)vAridaH')
('mud', 'a)pramud', 'b)vayanam', 'c)gUQadIpaH', 'd)SAsita')
('kapilaH', 'a)kapiSaH', 'b)niyantraka', 'c)rogaH', 'd)samparkIyaH')
('nirmA', 'a)viDA', 'b)tapta', 'c)BU', 'd)naKaH')
('kUwaH', 'a)kUwam', 'b)ugratvam', 'c)vicAraH', 'd)virAgay')
('pUjaya', 'a)upAs', 'b)sannAhaya', 'c)haripriyaH', 'd)TimpUnagaram')
('kavacam', 'a)peSikA', 'b)ArADaya', 'c)atulanIya', 'd)guYj')
('kavacaDArin', 'a)kavacayukta', 'b)hemadugDaH', 'c)apas', 'd)PalazAqavaH')
('jYA', 'a)avagam', 'b)nistriMSaH', 'c)parIDyE', 'd)sanDukzaya')
('jYA', 'a)ave', 'b)samASri', 'c)Danada', 'd)utpAtaH')
('viBAvaya', 'a)buDa', 'b)kAlamezI', 'c)SrapaRam', 'd)maYcakaH')
('pratibanD', 'a)pratiruD', 'b)aSvArohI', 'c)vismi', 'd)hastatalaH')
('pratibanDa', 'a)pratihan', 'b)vipalAy', 'c)saYcAraH', 'd)apavah')
('saMruD', 'a)avaruD', 'b)daMSaH', 'c)sODatalam', 'd)atiSayatA')
('udgraT', 'a)SiTilIkf', 'b)akzaratUlikA', 'c)paRAyA', 'd)yuvatI')
('prakASaya', 'a)Bid', 'b)pramada', 'c)laNGaya', 'd)vizu')
('prAraB', 'a)AraB', 'b)nirIcCa', 'c)SataparvA', 'd)prAptayOvanaH')
('preraya', 'a)protsAhaya', 'b)naladam', 'c)upAyanam', 'd)triBujAkAra')
('aNgAni', 'a)viyuj', 'b)aBiSA', 'c)viSAla', 'd)mAgaDI')
('udGAwaya', 'a)apAvAraya', 'b)nAditaH', 'c)liKitam', 'd)AkANkzita')
('gudaH', 'a)powI', 'b)ajinam', 'c)aprahata', 'd)hiMsra')
('ulkAmuKa', 'a)pretaH', 'b)praSaMsA', 'c)kiRaH', 'd)udyamaH')
('praboDaya', 'a)avaboDaya', 'b)ramA', 'c)mahAyudDam', 'd)SrutiH')
('paricArikA', 'a)anuvEdyA', 'b)aDirohiRI', 'c)pAragamanam', 'd)aBi')
('pipAsu', 'a)pipAsita', 'b)aDyApanam', 'c)BAratIya', 'd)anupAvftA')
('svarRABA', 'a)nAgapuzpA', 'b)lipikAraH', 'c)sUt', 'd)kapawam')
('uccArita', 'a)aBivyAhfta', 'b)aBiyogaH', 'c)kavvaraH', 'd)pUjya')
('ulleKanIya', 'a)leKanIya', 'b)vidyAlaNkfta', 'c)prAdurBU', 'd)lAGavam')
('ulliKita', 'a)kaTita', 'b)mahABAratayudDam', 'c)niDAnam', 'd)parisparSaya')
('pratidinam', 'a)pratidivasam', 'b)nASavat', 'c)DUlikA', 'd)parikaTA')
('stutya', 'a)praSaMsitavya', 'b)prastIram', 'c)viviDa', 'd)devatA')
('AmantritaH', 'a)nimantritaH', 'b)pratikf', 'c)niGfSvaH', 'd)gaqupfzWaH')
('kawI', 'a)kawiH', 'b)maDyamikA', 'c)niHsanDi', 'd)mandAraH')
('viloqanam', 'a)manTanam', 'b)TrImAila', 'c)siMhaH', 'd)samayaH')
('droRakAkaH', 'a)kAkolaH', 'b)fRam', 'c)pAtra', 'd)kambuH')
('mandabudDi', 'a)matimanda', 'b)rahasya', 'c)jaGanyaH', 'd)gopyaH')
('samasta', 'a)sama', 'b)vikrayaSulkam', 'c)sUtarAw', 'd)sOhArdam')
('SizwatApUrvaka', 'a)saByatApUrvaka', 'b)spandanam', 'c)saMvedita', 'd)haMsa')
('niyamaH', 'a)SAsanam', 'b)drAG', 'c)jyezWa', 'd)mAtA')
('saMSliz', 'a)saMgraT', 'b)saMkzoBanam', 'c)lokottara', 'd)pracCAdanam')
('pezaRam', 'a)pezaRI', 'b)payaHSAlA', 'c)sTitaprajYatA', 'd)Anand')
('valayaH', 'a)valayam', 'b)kAryapravartakaH', 'c)Alap', 'd)tatrEva')
('vftta', 'a)kuRqalAkAra', 'b)tilapiYjaH', 'c)tApamApakaH', 'd)upanizad')
('gola', 'a)sarvavartula', 'b)paYcASat', 'c)niHsvAdu', 'd)patrI')
('ADAraH', 'a)aDizWAnam', 'b)kzemaDUrtiH', 'c)lokajit', 'd)SaSARqulI')
('karpAsaH', 'a)tUlI', 'b)vijYaptiH', 'c)viloBaya', 'd)svEritA')
('apfkta', 'a)aSlizwa', 'b)mAndyam', 'c)hfdrogaH', 'd)apratigrAhya')
('sAsnA', 'a)galakambalaH', 'b)maNgaladAyaka', 'c)sad', 'd)BayaH')
('meGamAlA', 'a)meGarAjiH', 'b)OzaRaSORqI', 'c)BapaNgavAdyam', 'd)vilokanam')
('vaMSaH', 'a)DaraRI', 'b)amBaH', 'c)harimanTaH', 'd)de')
('sTAlI', 'a)uKA', 'b)vyavaDAnam', 'c)aBaNga', 'd)nAwyam')
('aBizeRam', 'a)sEnikagamanam', 'b)AkASaH', 'c)dakziRa', 'd)tulanayA')
('BArottolanayantram', 'a)bakaH', 'b)plavaMgamaH', 'c)mallaH', 'd)vipannatA')
('vyaYjanam', 'a)pAkvaSAkaH', 'b)Seza', 'c)tIkzRabudDin', 'd)raktavarRaH')
('prakozWaH', 'a)gozWISAlA', 'b)kAmaH', 'c)dolIkA', 'd)mAMsapeSI')
('SrIvAsaH', 'a)pAyasaH', 'b)cetanaguRAropaH', 'c)dravyam', 'd)asaMbadDa')
('aKaRqatA', 'a)pUrRatA', 'b)ayaskAntaH', 'c)jan', 'd)samavakF')
('navatA', 'a)navatvam', 'b)anumatam', 'c)tilatElam', 'd)daSanam')
('sAriRI', 'a)sAraRI', 'b)AyAsaH', 'c)nivAsI', 'd)AjyadIpaH')
('kxp', 'a)prakxp', 'b)anuBid', 'c)amohin', 'd)aviSrAntiH')
('saMmAnaya', 'a)sammAnaya', 'b)vyaT', 'c)setuH', 'd)nis')
('pratijYA', 'a)pratipad', 'b)Ama', 'c)tElaspandA', 'd)pratigfhya')
('nivas', 'a)viSram', 'b)paRyaSAlA', 'c)ucCettA', 'd)asUyaka')
('vyavasTA', 'a)samAsTA', 'b)parAkf', 'c)kzIram', 'd)sarvapriyatA')
('Sizya', 'a)avaSizya', 'b)antarIkzavidyA', 'c)upanAhaH', 'd)gaNgAmArgaH')
('saMvf', 'a)Avf', 'b)AtmadarSaH', 'c)guptadvAram', 'd)vAnanirIkzaRI')
('atikram', 'a)ullaNGaya', 'b)anusUcita', 'c)priyavAdinI', 'd)vErakArin')
('muc', 'a)mokzaya', 'b)nirdaya', 'c)sara', 'd)SaNkita')
('mftyu', 'a)arGaH', 'b)upasaMcAraH', 'c)uccArmARa', 'd)saDarmiRI')
('puzpakabarI', 'a)SIrzakam', 'b)yamakA', 'c)BrAjasvat', 'd)pavanasutaH')
('tap', 'a)uttap', 'b)pARaH', 'c)Cannam', 'd)yAYcA')
('Aropaya', 'a)ropaya', 'b)SatakowiH', 'c)upalaB', 'd)saMsTita')
('suPaladAyin', 'a)suPalada', 'b)upArUQa', 'c)sAraNgI', 'd)ekacatvAriMSattama')
('pawamaRqapaH', 'a)maRqapaH', 'b)Suklapawalam', 'c)SfgAlI', 'd)DUtiH')
('BUnimbaH', 'a)kirAtatiktaH', 'b)unmocanam', 'c)kArtajYam', 'd)ahaSSaH')
('Ayurvedika', 'a)AyurvedIya', 'b)yugalam', 'c)p', 'd)SrAvaRaH')
('prakASya', 'a)prakASanIya', 'b)kalyARabIjaH', 'c)praBram', 'd)meGAntaH')
('saMsargajanya', 'a)saYcArin', 'b)Palada', 'c)kAlapraBAtam', 'd)DavaH')
('vft', 'a)vid', 'b)Aspand', 'c)sahasyaH', 'd)AtmaGAtin')
('cintaya', 'a)vicintaya', 'b)vfdDA', 'c)aBinI', 'd)itara')
('dF', 'a)vidF', 'b)avacita', 'c)saMrakz', 'd)trivarRaH')
('KaRqaya', 'a)BaYj', 'b)lAsikA', 'c)prAvfzyam', 'd)lomaSaH')
('naS', 'a)praRaS', 'b)viracaya', 'c)kAryakramapatrikA', 'd)senAsTAnam')
('Bedya', 'a)BedanIya', 'b)esapI', 'c)DyAnin', 'd)kUlam')
('guRarahita', 'a)guRahIna', 'b)UrmikA', 'c)vinASin', 'd)SucipraRIH')
('karadIpaH', 'a)dIpayazwiH', 'b)kOverI', 'c)nIlamaRqalaH', 'd)asaMvfta')
('vidyutpewikA', 'a)vidyutkozaH', 'b)anumodanam', 'c)upayogaH', 'd)hUtiH')
('padacyuta', 'a)cyutADikAra', 'b)vaMSikam', 'c)apAkfz', 'd)nirRAyaka')
('vedAntam', 'a)vedAntaSAstram', 'b)garBaH', 'c)niBfta', 'd)SokaH')
('nAstikatA', 'a)devanindA', 'b)arDanipuRa', 'c)vipula', 'd)puzwikA')
('oM', 'a)om', 'b)kupaTaH', 'c)ramya', 'd)markarA')
('jayA', 'a)jayantI', 'b)durvAdaH', 'c)snAnakakzam', 'd)gOtamaH')
('sTApanA', 'a)pratizWApanA', 'b)pariBAz', 'c)kriyA', 'd)Avaneya')
('EcCika', 'a)kriyA', 'b)patatram', 'c)arDenduH', 'd)Paॉssela')
('kakzA', 'a)parimaRqalam', 'b)punarvAsaH', 'c)eva', 'd)kAlasImA')
('pariDi', 'a)maRqala', 'b)parokzam', 'c)GAGaH', 'd)nirdeSaH')
('paMkti', 'a)vartiH', 'b)ozaDiH', 'c)akzaH', 'd)pOtraH')
('vinizkram', 'a)aBinizkram', 'b)anuvAram', 'c)parivahanasTalam', 'd)pizwakaH')
('pfTagBU', 'a)viBaj', 'b)yatI', 'c)AkrAmakatvam', 'd)BOrikI')
('prakAS', 'a)prakASyatAM', 'b)iRqiyA', 'c)mahArasaH', 'd)diS')
('muKAt', 'a)niHsf', 'b)apacayaH', 'c)yAcitaH', 'd)daSa॑Sipre॒')
('vikas', 'a)sPuw', 'b)mAnavIna', 'c)kEvartaH', 'd)dvizaH')
('vEkuRWaH', 'a)vEkuRWalokam', 'b)galanam', 'c)sameD', 'd)arkavallaBA')
('rajanIganDA', 'a)dvizadA', 'b)SAradam', 'c)kAYcanakandaraH', 'd)romaSaH')
('kAmAyanI', 'a)kAmAyinI', 'b)tuNgaH', 'c)dIrGajIvI', 'd)kAsAluH')
('arAjaka', 'a)rAjahIna', 'b)puzpakfcCram', 'c)ulkAmuKa', 'd)mahOzaDam')
('kUwaH', 'a)kUwam', 'b)Arogyaprada', 'c)sammilita', 'd)atrinadI')
('niHSabda', 'a)Sabdarahita', 'b)kuSalatA', 'c)sadat', 'd)yakft')
('triBujam', 'a)trikoRaH', 'b)BAzA', 'c)Urjasvat', 'd)simbA')
('triBujAkAra', 'a)triBujIya', 'b)BImasenaH', 'c)sArTaH', 'd)kAdambarI')
('avistftiH', 'a)alpavistAraH', 'b)tantraH', 'c)udDAraH', 'd)DAraRayantram')
('kArpaRyam', 'a)dEnyam', 'b)pApoSa', 'c)duHKa', 'd)haWavidyA')
